task_num,text,grade
28,"Признак инермерикоз Тён Теномии G отсутствие некерициона аномалия в нии нормальная клешь ха нормальная ума пр нет имерициеноза аномалия руки синь имермерикоз. G прои. - нормальная рука, 8 хозя- f x xa - аномался руки, есть инериорикоз аномалия руки, нем - нормальная рука, кишь пред аномалия руки нем имеризмхоза нормальная рука раз неги ширификоза F.g Абы- аномалия руки, есть интерприкоза нормальная рука, нет интернирующее настольная рука, есть интернетаз д х ха- аха",3
28,No25 Сонные артерии - это артерии несщицие кровь,2
28,"No27 будет равна (аа) соответвует д и 1000 0,0001 исход из этого можно найти частоту встречаемости аллеле а (д), который равен 50,0001 = 0,01, зная частоту встречаемости аллеле д можно найти гастоту формул. p+g=1, из этой формулы выражаем р т.к. популяция равновесная. р= 1- 0,01= 0,28, знаё частоту встречаемости аллея А (Р), можно найти доминантный секотип АА (p2)= 0,33 = 0,3801 можно най гетерозиготный генотип 2pg(Aa 2- 0,01- 0,99 - 6, 0 188. Эволюционный доектор, приводящий к снижению рецессивных голозекот сменно это естественный отбор, а стабилизирующий. No28 Дано:",2
28,"- лизичина без с индекциозой и снопания трип кистра развитий женщина гипертриноза, казы с аналашей развитие кисти без лизмогина аномаши развития кисти и без гипертрахоза",2
28,"No28 Счё а 3) женщина без гипертричоза и с апосами. лией ра разбития кисти значение мужч ина на апомашей развитие части и гипертричоза женщине бес гипертрихоз апошаив развитие кисти - мушчина без гипертрикоза апомский разгития кисти. Да, в первой бряне Возможно рождение ребёнка с кормельным развитием кисти генотипа ребёнка участвовала материнская х хроносома",2
22,"No 22 1) Добавление через 48 часов противовирусного препората является неадежватным отрицательным контролем, так как изначально экспериментатор действовал на бактерий лекарственным средством. 2) Противовирусный препарат - другое эксперименто- льное воздействие на вирусы, которое повлияет на ход эксперименты 3) При постановке отрицательного контрася необходимо убрать лекарственное средство, не добавлять его. (Отрицательный контроль - изучить вирусную нагрузку, без добавления лекарственного препарата) 4) Все остальные параметры (температуру, пита- узо тельная середу, влагинать и другие) оставить без",2
28,No 28 Дано признак ген ана Домашняя развитии клети (англичия в генотип,2
28,"2) Р: 2 а зв аномаша в развитии кисте нет апошили в Нет гипертрихоза развитии кисти G: а - Аномалия в развитии кисти, F2: Нет итертрихоза нет аномами в развитии писти без нет гипертрихоза Апомания в развитии кисти, ХАУВ - никипертрихоза духах- Нет иначеими в розвитки, нет Испортрихоза кисти 3) В первом браке возможно мно рождение ребенка с нормальным развитием и с гипертрихозом (о за Так какой ребенок с инотик- такой ребенок получаем от матери ха и кроссоверную гомежу",2
28,"g'iaa)= 0,0001= Оливки: 1) р(А)= 0,23 4) д (а 2) q(a) = 0,01 3) p*1AA)+2.pd(Aa)= 0,9999 9,0001 (фенегий) Далее",3
28,"No28 гек А. Дано признак, норм. кисли инерушкоз х о листь без гиперице аной кисши. ушюз А6) проссоверные ные а а ,Ab 1 о норм. кисть станом жесть без гиперад. из ха",3
28,"гиперицинхозом возможно. азовании замет ожцы произой крассикловар и одно и просмотрно замет скала При слиянии с единственной гаметой Машеры соризуемая зна с генежным фекошки: о с норм. развитием кисти и генерификации а заль 2) геномины, феношикы, пол потомство, есть Далее",3
28,No 28 Дано: Решение: A а- нормаль- ная шесть В- нет гапер- трикоза нормальная кисть без рихов нормального кисть гипертриноз G: в- гипертри- Р.п. -Fi: генопипы и фено типы возможных звочек: ах-аномалия кисти (без гипертрикоза гипертрихоза зах -нормальная кисте/без генотипы и фено типы возможных мальчиков хауа в нормальная шесть (шпертрихоз Хау АВ аномасия кисти/гипертрикоз 2) Р: 9 ХАХ х о аномолия кисти без из инерк нормальная шесть без гипертрахоза,3
28,"1 No27. 1) 10 000 = 0,0001 частота что генотипов на в равновесной попреяции (фенилкетопурии) 2) частота генотипов аа = д- 3) = 0,01 частота аллеия а р= 1-q = 1- 0,01= 0,99 частота аллея А 5) Р 5) р""- частота генотипов АА в равновесной популяции (здоровый, 7) 2pg = 2 = 0,01 = 0,0701=",3
27,"1 No27. 1) 10 000 = 0,0001 частота что генотипов на в равновесной попреяции (фенилкетопурии) 2) частота генотипов аа = д- 3) = 0,01 частота аллеия а р= 1-q = 1- 0,01= 0,99 частота аллея А 5) Р 5) р""- частота генотипов АА в равновесной популяции (здоровый, 7) 2pg = 2 = 0,01 = 0,0701=",2
28,"уб- шпертричего 1) Реф уауа отс. гипертрин? гипертригеоз непрособверные проссоверные от ухуал Исперимент шка инергии аномалыградь писти гипер спертри вертирины фекотип: про при сочетании сын) а проссоверной отцовской У гаметы, несущей ген гипер- трикоза и материнской Х, без заболеваний (Х.) (смотреть на след. страшие?)",3
28,"2) Р: 2 УАХа отс гиперт фунза от ул. отс в хара норм разв.н.) отс. шкертр. No26. 1) Реологическая теория Вавилова представители млекопитающих родственник видов, противолощие дольше от экватора, имеют размеры тела большие по сравнению с представителями, блише к экватору (правило Бергии пропивалации римана) 3) Метру видами возникла географическая изоляция Оташизмы проспосабливались и окружающей их (спеде поэтому имеют разный внешний его естественный отбор отбрасываивал особей Гелабин. ли я оставлял сильный, с полезными слутациями»)",3
28,"над в. х в. знодов карти; Учка раз кист, разм цвет 3) Нет, к. у рдителей нет путин оллелей ни кист, те ушк",0
28,"4) частота нормальных аллелей p = 0, 980 l Ответ частота мутантных аппелей д- = 0,0001 частьета нормальных аппелей 2 = 0,9801 частота фенотипа аса = 0, 0 1 частьета фенотипа = 0,99",0
28,"28. A Дано нет англиям. есть аналал. А- есть гипертрикоз а- нет гипертрихоза В- есть анамамия кис ти G. Б- нет апомами кисти некрос. а крас. крос. крос. Fi a В Ре: 9 ха ха G: крос. некрос a allb а а В первом брак и с гипертриноз был рождение ребенка гипертрихозом возможно, так с нормальным развитием кисти рад как и отца ин, отвечающий за",0
28,"1.10000 0,0001 No28 1) Р: 8хаВ ы: А а, а В , п в в в ха у 43 хох, хвус 3) в пере 2) В сентября предложение Грунского растения рождение ребёнка с нормаль- цвета. итие ст ти и с гипертрия птрихором.",0
28,"ОМОНАЛИЯ В РАЗВИТИИ РИХО >А развитии кисли, удуа нет аномалии в раз- - витии кисти, нет гипертрикола, Рген 2 хаха X-X-аноналия в развитии кисти, 9 нет гимертрихова ГАН. (х"") (дав.) хауав хауае аномалия в развитии кисти, гипертрихоз, - нет аконалии в развитии кисти, гипертрихоз. раза хауля",0
28,"1)Р. Ф ЛаВВ к о аавв давь норм. по обоим признакам Раавв аном. гиперт, 6. Fa. AgBB норм по обоим призн. норм. по обоим призн 3)В первом браке возможно рождение ребён- ка с нормальным развитием кисти и с лась носителем гена гипертрахоза.",0
28,28. 1) Р д. хоха нормальное развитие кистинет гипертри- хозя аномалия в развитии трехоз аллель- норм. развитие ки кисти аллель- аномалия в раз- витии кисти,3
28,"аномалия в разви- тии кисти трихоза нормальное развитие кисти нет гипертрихоза за за хауа- о аномалия в развитии кисти, нет гипертрихо- за за за хара- знорно- о нормальное развитие кисти, нет прихоз пу гипертр ихоза 3) Да, возможно, (х"" (х"") (хв.) т.к. одну алле- хромосому (х"") по- года лучит от матери, вторую (YOU)- от отца в резуль- тате кроссинговера. И у матери и Обе содержат рецессивный аллель (а), поэтому у ребёнка нормальное",3
22,"24. 1) на рисунке А 2) рефлекторный центр безусловного слюноотделения расположен в продолговатом мозгу на раздражитель, характерная для организмов с высшей нервной деятельностью. А И инстинкт- ответ- реакция организма на какую-либо внешнюю опасность, характерная для многих э- большинства животных. включение лампы; рецепторы глаза собаки; центр восприятие в коре больших полушарий; временная связь к пищеварительному центру; центр слюноотде- ления в продолговатом мозгу; слюнные железы; слюно",1
28,"апом. в писти кисти гипертрихоз гипертрихоз. 2) Второй брак: апом. в кусти нет а гипертрах. G: X 1 ав F2: писти в норм зазав от + писть норм писть нет гипертриоза Да, возможно появление ребёнка нормальным развитием т.к. -хромо- сома приходит от мамы (хеха) а приходит от отца и она (хромосома) а - хромосоме образовалось в результате",3
28,"2) Частота мутантного аллея (а) д = бд = 500001 = 001 фекотипа 3) Частота нормального генотипа (АА) 1- 9 = 0,9999 Частота нормального аллеля (А): Дрейф генов.",3
28,"28. Тен.-фен.: Р: 8 На хвВв А- нормальное развитие кисти С.: Лавв а- нет гипертрихоза В- анопсалия кисти в- сипертриюз К: АВ Ав ав авадочь) дав хоАа 2 Да, в первом браке возможно рождение ребёнка с нормальным развитием кисти и гипертриходопутак как у матери нормальная кисть, а у отца гипертрихоз.",0
28,Да На флинантный d. AAAa Дописантный 1. А Ада доминантный Доминантный 4. Дала доминоютный 2. Дада 2. a aAa 1. адаа. 2. К снижению доли рецессивных гомозигот может привести такой фактор как размножение особей с доминантным типом.,0
28,"Решение: 1) Р.п.: G.: ав одномалия развит (426) костей, гипертри -нетаномалии, кот гипертрикоза - нет аномалии, гипертрихоз -аномалия развит кистей, Ex 48 + ав уяв -аномалия развит кистей,",0
27,"27. Дано: А - нет кого фенилкетонурии а-фенилкетонурия (д.) p + 2pg+g = 1, 1881 К снижению доли рецессивных гомознго может приводить естественный отбор",2
28,"аномалия развития писту у нет гипертрихоза, аномальносия развития кисти - нет аномалий развития кисти, ху - нет сеномалий развития кисти, нет гипертрихоза. Возможно рождение в первом бране ребёнка с нормальным развитием кисти и с гипертрихозом потому, что ребенок ебенок получает материнскую галиту х и кросоверную отцовскую замету образовавшуюся во время просин говера. Задание 27.",3
28,"2) 1) Частота вступками море с тишикстопукий =10000 0,0001 2) Чатота вспишим моуб с уашем работники уже Правновесной полумерии ра = 0/2 3) Чайота ашия (а) долого заболим в равшоб полезен- ум = о/ => б0,0001 = 0,01 (тк явления долгостьии) = 1- 0|=Р до 0,99 1- 0,01= 5) Чакота шютима (АА-кет решилиющим) в равновесо полумер ерш= рг=0,992=0,9801 6) Чакопы имашия (Ах- нет жилкетонули) в равновесе полулями = 2 р. о) = 2 0,99 0,01 = 0,0198 7) Симимо заши перешивых госпореют можно повесть микрощих людей- (которые мудробая 8) Как при бросах с родными рассчем муба может могли увеличил генетное разнообразие Перешь алель а будет позошел домашние ошли будущего душ го) будем увели муб с гесомил Асе, не причини орентинии",3
28,"хуос нет испершни ху – кет нарушил развил гипертрикоз A 2) p: 7 X X апомался развития реши, нет гиперты жизнь X 4 нет хломами развития киши, их интерприяда 6: нет гарушил равно книг, или синтиры года ав наприм словами книги, нет шпортрихал д упха- есть поши родники, нет гиперында 3) В мпвом браке возможно поэсуии ребёнка, которой гер д трикоз Данный ребёнок (Ха, ась, имеет в своём инотии",3
28,"No28. Р: 2 хозя х от хауль No развитие кости, аномалия развития кчести, Испертрихоз нет гипертрикоза G. х нисти, за уль. анома кисти, гипертрихоз за 2 апома- лия разви- тия кисти кисти, хауа от хазав аномалия развития Ристи Пормальное развитие кисти нет гипертрикоза. хл заха. Я аномалия развит кисти, нет гипертрихоза характеристику развит кисти нет гипертрихоза. 3) В первом браке возможно рождение ребенка развитием кисти и с гипертрикозом. (Ха сыр) с нормальным В его генопиле находится х- хромосома натери и 15-хромосома отца полученная в",3
28,ув- без гипертрихоза (без) А - оцюмами (оточ.) в развитии кисти ар- корма (норм.) аноч. гип. красоверные,2
28,"A Рг. норм без F 2 Я норм. без. она без норм. без. В первом браке возможно рождение ребёнка с нормас нормальным развитием кисти и гипертрикозой т.к. между участками, которые содержат аллерг гена, вызывающего апомами в развитии кисти, может происходит кроссинговер; Аллем геня гипертрихоза наследуется гопрандрически; Тогда в первом сюре изивании получаюти некрассоверные галоты (от матери), хасототца и (от отца) и кроссоверные х сот отцом искомый ребенок это мальчик генотипом где это- это крассоверная галета от отца а некроско верная матери.",2
28,"28 Дано: Решение. хараканом. разв кисти 1 скрепуивание в.: 2 х нет кипертрихоз увгипертрихоз G: -д нем акомалии за уже о есть апомалия, гипершрихоз заха-д есть апомалия 2 скрепувание нетаном. нет гиперпер. G. Fa -$ аномалия есть хазаво аномалия есть, гипертрихоза нет заха-е нем аномалии зазво нет аномалии, нем типертрихоза Да возможно. Это мальчик с генотипом хазар. Это возможно, потому что он мамы придёт хромосоша с рецессивной аллелью без заболевания, а от отца, хромосома образовавшаяся в результате кроссинговера с рецессивным аллелем (а) без апомалии, и рецессивным аллелем (Б)-пипертри- хоз. Поэтому это заболевание проявилось, а мумации кет.",3
28,"3. Теория движения матереков No 28 аномальное розь. гипертриноз очицитвие интерприноза и апомол. развития кипы (ав) (Ab) F1: а а 0 6 - нормаль кормальное развитие кисти, без кипертриноза аномальное аа Р6 без апомалий апомался китки Возможно пожарные ребенка с кормальным развитием книги и с инертиринозим No24 Отсливочный отбор может привычку Дрейф генов",0
28,"изменениями илиматические условий Решение: 2 p + 2pg + q = 1. 1) Расчитаем частоту мутационных аллелей; 2) 9= 70,0001 = 0,01. 3) Расчитаем частату кормальных амелей: p= 1- 0,01 = 0,99 0,99 = 0,9901. 5) Рассчитаем частоту всех фенотиков: 2pg= 2(0,01- 0,99)= 0,019%. скрещивающем и тем, что должнантных происходит снижение доли рецессивных гомозигот во всей человеческой популяции. нариц аномалия кисти ликер трикоз Сера - нет кроссии говера -есть кроссиновер. нормы акомашл кисту норма – норма, гипертрикоз. кусту, гипертвико,",2
28,"р-1-9= 1-901 = 0,99 частота встречаемости аллеля А в популя- ции человека р= 1- р= 1- 0,0001 = 0, 9 9 99 гастота встречаемости фенотипа АА в популяции человека 28 задание: аномалия в развитии кисти гипертрихоз разв яной в гиперт G: X"" х 445 нет липерт аном. вразв аном гипертр гипертр 2) р: 2 6:- аномеразе, нет липерт. д. у негмперт нет липерт 3) Да, возможно рождение ребенка в первом браке с нормальным развитием развитием кисти и с гипертрихозом - хауан он получила от гаметы матери и кроссоверной гаметы у 3) естественный отбор; увеличение количества в популяции увеличение генетического разнообразия увеличение количества гетеразиготный особей в популяции 27 задание",3
28,"2. Частота мутантных аллелей (генотип аа) 0,01 3. Частота нормальных оллелей можно находим по форм p+ 0,01= 1 p= 0,99 Частота нормальных аппелей (генотип Аа) 2pq = 2- 0,98- 0,01= 0,0198 +2-0,98-0,01=0,3801 +0,0198=0,9993 4. о 1999 Фенотипы 0,99% или 99% - норма (без заболевание) 0,01 или 1/3 - заболевание 5. К снижению дож рецессивных готозают во всей человеке- кой популяции может привести дрейв генов.",0
26,"Безусловный и отсутс- После безразличных слюноотделения и много раздражителя показаны на рисунк Рефлекторный центр безусл условного, слюноотдели- тельного рефлекса распыл в продолгова- том Различие между безусловным рефлексом инетинктом заключи ается том том, что безусловной рефлекс мы вбивше вырача- тываем усл условно это входит в привычку Дистинкт проявляется на более интуитивном уровне и не пишто то есть делали",0
28,"Данный бланк использовать только после заполнения обоих листов основного бланка ответов No 2 Решение: ние. ме: лист и безаном, без гипертихоза хать мальчик! Ху в анонами без кисти рук, но девочка с аномалией, на без типертихот с гипертихозом аномалия N) N2 кисти рук, без гипертикоза F2 мыльчик! кисти рук, но гипертихова без возможно рождение ви- нормальным раз не работает в ребенка и с гипертихдом. в браке есть мам чик, гей гипертикоза дуется гетерогаметной полу,",0
28,"28) А-жет анамамия в развитии кисти жет а- Капомалка в развитии кисти В-нет гипертрахоза в- гипертриче 1) Р: 8 хв. пет аномалии апохался в экспертрахаз кисти Я ароматия в кисло нет гипертрипца др пет аномачии в кисти гипертрипоза 2) Р у Гэ: о хавздь х от хату в апохация в кисти пет абсолютно в кисели пет гипертрахаза пет гипертрихоза -пекроссоверные - кроссоверные Анет Даномали в кисти) в кисти; анамаши; кисти; нет пет нет гикертрихоза гипер- гипертрихоза трихоза тринад да, возможно, так как гепы отсутствия аноналии в раз- Китай кисти и гипертрихоза переда от матери (гипертрихоз наследуется) по гетерогаметному полу, по чеп отсутс тся вся доминирует, поэтому хаВ перезде от латс атери уставный рефлекс, так как когда появляется ос- вещение и в этот момент собака употребляет пишь то у нее вырабатывается рефлекс, при котором, когда собака видит свет, то у нее начинает интенсивнее работать рас люноопделение, тем самым вырабатывается сложноатуем- пельные рефлекс при освещении",0
28,"28. Дано ешие Решение А- з. к. а- а. к. В. Димертритоз (г) Aa x x × аах у 6. б). (ay) Ел; пол; геночины детей; генотипы родителей. b в в ь. Даху; аахх; д, з.н., 2. д, ак, з дахх; ааху д., а. к, г. м., а к, 2. Ответ: да, возможно потому что мать была гетерозаботка и гепертридиз сценлен с 27. К спитению дали рецесивных голодигат может привести появление новых технологий, развитие науки и мед позволит удалять рецептные гомозыготы видов из Анн. из",0
28,"1. Фенотипы и A Р. п. х генотипы родителей х Нормальное развитие кисти, гипертрикоза АНОМАЛИА Развития кисти наличие гипертрихоза ДП Фетонины и Ренотипы и А геплотины потомства генотипы девочек: нормальное развитие кисти отсутствие гипертрихоза а Его- аномалия развития кисти, отсутствие гипертрихо Реножипы, и в генотипы мальчиков: -нормальное развитие кисти, гипертриход в-анамалия развития кисти, гипертрикод аномалия Развитие кисти отсутствие Штиртр нормальное развитие Кисти отсутн кутствие гипертряхоза Решатины и фенотипы потомства 2. 2. Нетомины и фенопипы девочек: а а",0
22,"22) 1) Данный опушцательный контроль не является адекватным, по- скольку добавленный противовирусный препарат (куплен ный в аптеке) может обладать тем же составом, что и исследуемый лекарственный препарат я 2) Мы не сможем выявить влияние лекарственного препнара- та на количество вирусных частиц в образце 3) В качестве отрицательного контроля следует взять образи заражённый видцом иммунодефицита человека и ничего к нему не добавлять.",1
28,"многочисленности в 5) Из-за нии (высокая плодовестость) У вирусов в роль в рамках одной к коло- 28) Дано: Решение: ме х, у -нет аномалии в разв скелета нет аномами в разв. снегета, нет х о аномами в разв. сислета, импертрих. гипертрикоз G: -нет синертрихоза (86)- непрословерные -кухсоверные гипертрич. гипертрах гипертрих. гипертрихоз скелета, нет в Васху скелета лет, нет птиц. Б: д ха за за гипертрих нет гипертрих. скеле- та, нет гипертрах. она уз",3
28,"27) Р 1 2РД + = 1 д= 1 1 1) 1) Частота встреч стреч. за трев = 0,0001 2) Частота встреч. рецессивного аллеля (а) = = = 0,0001 = 0,01 (а)= 3) Частота а встреч. норм. амял (А)= 1- 0,01= 0,33 (A)= P 6) Част. Е (Аа)= 2pq= 2-0,99-0,01=0,0198",3
28,"8) А - аномания в развитии кисти – нет анализии в развитии кисти у-нет гипертрихоза напии в развитии кисти тот аналития в развитии кисти литературы A 6 G. -кроссинговед – нет аномалии в развитии кисти -аномалия в развитии кисти -аномания в развитии кисли, гипертужки 2) нет анализии развития кисти нет иномалии развития кисти, нет гипертрихизы – нет окончании в развитии кисти В первом браке возможно рождение ребёнка с нормальным азвитием кисти и пепертикозом. Это будет сын с ленотипос пенотипом (отцовская У кроносома - образовалась в результате кроссинго ера и материнская хромосома)",3
28,"27. Частота встречаемости рецессивного заболевания = д а а Я = 10000 = 0,0001 => д = 0,01- частота аллеля а (заболева р= 1- д= 0,69- частота встречаемости аллеля А 2 рд = 2 - 0,01.0,99 = 0,0198 - частота косителей генотипа Аа +2pq +g + 1 - закон Харди-Войкберга. г Р = 0,99 0,99 = 0, 9801 - встречаемость генотипа АА",0
22,"по телу поэтому возрастает давление Соединительная ткань имеет большую плотность, чем у до человека, так как у жирафа длинные вытянутые конечности, ко- торые не должны быть хрупними и ломкими. Например, шея, она должна быть прочной, и ио при этом и эластичной так как нужно брать пишу и с земли и с высокого плодового дерева. Чтобы шёл не ломалась и конечности не изнанивались, а были устойчивыми Ивыше и кон- фортными соед. чтобы надеть чтобы удовлетворить Из-за повышенного артериального давления возьмать отечность ненских конечностей, т.к. много словена могу- воды уходит к ногам. Так происходит у беременных женщин, у них повышено ар- риальное полечи лечности давление из-за -за непоторого веса отенают штите",2
28,"Эволюционный фактор: дрейф, генов (эффект основателя) Дано 28. X - акомалия в развитии кисти Решение: норма/корма Х- корма - гипертриход из ав) - корма корма гипертриход хаврь норма /корма 1 версант горака! х о ако и в р. кист корма /корма Иорна ав заврав хрозав за",0
